objectid,filename,youtubeid,vimeoid,title,occupation,date_lifespan,creator,date_certain,date,description,identifier,subject,location,latitude,longitude,source,type,format,language,rights,rightsstatement
coll0059,FGV_Visitkort_029A.jpg,,,"Pettersson, Alfred",,,Anders Andersson,,1874,Alfred Pettersson,F1964_1953,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0060,FGV_Visitkort_029B.jpg,,,"Pettersson, Alfred",,,Anders Andersson,,1874,Alfred Pettersson,F1964_1953,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0061,FGV_Visitkort_030A.jpg,,,"Ström, Mimmi",,,,,1866,Fru Mimmi Ström f. Regnstrand,F1964_1982,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0062,FGV_Visitkort_030B.jpg,,,"Ström, Mimmi",,,,,1866,Fru Mimmi Ström f. Regnstrand,F1964_1982,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0063,FGV_Visitkort_031A.jpg,,,"Ullstedt, Eva",Sjuksköterska,,Fredrique Holmstedt,,1894,Eva Ullstedt,F1964_1995,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0064,FGV_Visitkort_031B.jpg,,,"Ullstedt, Eva",Sjuksköterska,,Fredrique Holmstedt,,1894,Eva Ullstedt,F1964_1995,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0065,FGV_Visitkort_032A.jpg,,,"Toll, Svante Josef",Löjtnant; Gymnastiklärare,1837-1903,,,1865,Svante Josef Toll. Gymnastiklärare vid Wadstena läroverk från 1888.,F1964_1997,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0066,FGV_Visitkort_032B.jpg,,,"Toll, Svante Josef",Löjtnant; Gymnastiklärare,1837-1903,,,1865,Svante Josef Toll. Gymnastiklärare vid Wadstena läroverk från 1888.,F1964_1997,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0067,FGV_Visitkort_033A.jpg,,,"Ulander, Frans",Garvare,,,,1870,Frans Ulander,F1964_1996,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
coll0068,FGV_Visitkort_033B.jpg,,,"Ulander, Frans",Garvare,,,,1870,Frans Ulander,F1964_1996,,Vadstena,58.4493607,14.89070692,Föreningen Gamla Vadstena,Image;StillImage,image/jpeg,swe,Föreningen Gamla Vadstena,PDM
